DATETIME,TIME,LON,LAT,DEP,V
"31-DEC-2022",44559.5,78,4.5,5,0.263455  
"31-DEC-2022",44559.5,78.5,4.5,5,0.169692  
"31-DEC-2022",44559.5,79,4.5,5,0.0421798  
"31-DEC-2022",44559.5,79.5,4.5,5,-0.107097  
"31-DEC-2022",44559.5,80,4.5,5,-0.175186  
"31-DEC-2022",44559.5,80.5,4.5,5,-0.122392  
"31-DEC-2022",44559.5,81,4.5,5,-0.00835143  
"31-DEC-2022",44559.5,81.5,4.5,5,0.0954477  
"31-DEC-2022",44559.5,82,4.5,5,0.145674  
"31-DEC-2022",44559.5,82.5,4.5,5,0.137388  
"31-DEC-2022",44559.5,83,4.5,5,0.148427  
"31-DEC-2022",44559.5,83.5,4.5,5,0.151058  
"31-DEC-2022",44559.5,84,4.5,5,0.134041  
"31-DEC-2022",44559.5,84.5,4.5,5,0.102058  
"31-DEC-2022",44559.5,85,4.5,5,0.0788964  
"31-DEC-2022",44559.5,85.5,4.5,5,0.0740611  
"31-DEC-2022",44559.5,86,4.5,5,0.0355829  
"31-DEC-2022",44559.5,86.5,4.5,5,-0.0196812  
"31-DEC-2022",44559.5,87,4.5,5,-0.00125787  
"31-DEC-2022",44559.5,87.5,4.5,5,0.0657637  
"31-DEC-2022",44559.5,88,4.5,5,0.103621  
"31-DEC-2022",44559.5,88.5,4.5,5,0.118126  
"31-DEC-2022",44559.5,89,4.5,5,0.118439  
"31-DEC-2022",44559.5,68,4.75,5,0.245213  
"31-DEC-2022",44559.5,68.5,4.75,5,0.236395  
"31-DEC-2022",44559.5,69,4.75,5,0.209575  
"31-DEC-2022",44559.5,69.5,4.75,5,0.196195  
"31-DEC-2022",44559.5,70,4.75,5,0.153811  
"31-DEC-2022",44559.5,70.5,4.75,5,0.108464  
"31-DEC-2022",44559.5,71,4.75,5,0.0636393  
"31-DEC-2022",44559.5,71.5,4.75,5,0.0582603  
"31-DEC-2022",44559.5,72,4.75,5,0.080891  
"31-DEC-2022",44559.5,72.5,4.75,5,0.0900335  
"31-DEC-2022",44559.5,73,4.75,5,0.102276  
"31-DEC-2022",44559.5,73.5,4.75,5,0.05367  
"31-DEC-2022",44559.5,74,4.75,5,-0.0136976  
"31-DEC-2022",44559.5,74.5,4.75,5,-0.110774  
"31-DEC-2022",44559.5,75,4.75,5,-0.156147  
"31-DEC-2022",44559.5,75.5,4.75,5,-0.117182  
"31-DEC-2022",44559.5,76,4.75,5,0.0501028  
"31-DEC-2022",44559.5,76.5,4.75,5,0.256831  
"31-DEC-2022",44559.5,77,4.75,5,0.472079  
"31-DEC-2022",44559.5,77.5,4.75,5,0.413843  
"31-DEC-2022",44559.5,78,4.75,5,0.30773  
"31-DEC-2022",44559.5,78.5,4.75,5,0.210546  
"31-DEC-2022",44559.5,79,4.75,5,0.0820468  
"31-DEC-2022",44559.5,79.5,4.75,5,-0.0815759  
"31-DEC-2022",44559.5,80,4.75,5,-0.159928  
"31-DEC-2022",44559.5,80.5,4.75,5,-0.102196  
"31-DEC-2022",44559.5,81,4.75,5,-0.00171475  
"31-DEC-2022",44559.5,81.5,4.75,5,0.135587  
"31-DEC-2022",44559.5,82,4.75,5,0.209704  
"31-DEC-2022",44559.5,82.5,4.75,5,0.197203  
"31-DEC-2022",44559.5,83,4.75,5,0.204896  
"31-DEC-2022",44559.5,83.5,4.75,5,0.164836  
"31-DEC-2022",44559.5,84,4.75,5,0.143579  
"31-DEC-2022",44559.5,84.5,4.75,5,0.12573  
"31-DEC-2022",44559.5,85,4.75,5,0.124676  
"31-DEC-2022",44559.5,85.5,4.75,5,0.108558  
"31-DEC-2022",44559.5,86,4.75,5,0.0586988  
"31-DEC-2022",44559.5,86.5,4.75,5,0.00554279  
"31-DEC-2022",44559.5,87,4.75,5,0.0066993  
"31-DEC-2022",44559.5,87.5,4.75,5,0.0429311  
"31-DEC-2022",44559.5,88,4.75,5,0.0922306  
"31-DEC-2022",44559.5,88.5,4.75,5,0.137147  
"31-DEC-2022",44559.5,89,4.75,5,0.167866  
"31-DEC-2022",44559.5,68,5,5,0.256967  
"31-DEC-2022",44559.5,68.5,5,5,0.24863  
"31-DEC-2022",44559.5,69,5,5,0.229531  
"31-DEC-2022",44559.5,69.5,5,5,0.215326  
"31-DEC-2022",44559.5,70,5,5,0.176187  
"31-DEC-2022",44559.5,70.5,5,5,0.120967  
"31-DEC-2022",44559.5,71,5,5,0.0624394  
"31-DEC-2022",44559.5,71.5,5,5,0.0481753  
"31-DEC-2022",44559.5,72,5,5,0.0613142  
"31-DEC-2022",44559.5,72.5,5,5,0.0715645  
"31-DEC-2022",44559.5,73,5,5,0.104967  
"31-DEC-2022",44559.5,73.5,5,5,0.0747835  
"31-DEC-2022",44559.5,74,5,5,0.0201024  
"31-DEC-2022",44559.5,74.5,5,5,-0.0802329  
"31-DEC-2022",44559.5,75,5,5,-0.161878  
"31-DEC-2022",44559.5,75.5,5,5,-0.0897183  
"31-DEC-2022",44559.5,76,5,5,0.0530135  
"31-DEC-2022",44559.5,76.5,5,5,0.250726  
"31-DEC-2022",44559.5,77,5,5,0.482034  
"31-DEC-2022",44559.5,77.5,5,5,0.458455  
"31-DEC-2022",44559.5,78,5,5,0.332576  
"31-DEC-2022",44559.5,78.5,5,5,0.22557  
"31-DEC-2022",44559.5,79,5,5,0.0970878  
"31-DEC-2022",44559.5,79.5,5,5,-0.0564035  
"31-DEC-2022",44559.5,80,5,5,-0.124236  
"31-DEC-2022",44559.5,80.5,5,5,-0.047757  
"31-DEC-2022",44559.5,81,5,5,0.05181  
"31-DEC-2022",44559.5,81.5,5,5,0.152723  
"31-DEC-2022",44559.5,82,5,5,0.265385  
"31-DEC-2022",44559.5,82.5,5,5,0.209184  
"31-DEC-2022",44559.5,83,5,5,0.209732  
"31-DEC-2022",44559.5,83.5,5,5,0.203072  
"31-DEC-2022",44559.5,84,5,5,0.184385  
"31-DEC-2022",44559.5,84.5,5,5,0.169993  
"31-DEC-2022",44559.5,85,5,5,0.172114  
"31-DEC-2022",44559.5,85.5,5,5,0.157978  
"31-DEC-2022",44559.5,86,5,5,0.0929417  
"31-DEC-2022",44559.5,86.5,5,5,0.011731  
"31-DEC-2022",44559.5,87,5,5,8.33167E-04  
"31-DEC-2022",44559.5,87.5,5,5,0.0153779  
"31-DEC-2022",44559.5,88,5,5,0.0451815  
"31-DEC-2022",44559.5,88.5,5,5,0.11525  
"31-DEC-2022",44559.5,89,5,5,0.184361  
"31-DEC-2022",44559.5,68,5.25,5,0.240823  
"31-DEC-2022",44559.5,68.5,5.25,5,0.262448  
"31-DEC-2022",44559.5,69,5.25,5,0.236561  
"31-DEC-2022",44559.5,69.5,5.25,5,0.240948  
"31-DEC-2022",44559.5,70,5.25,5,0.209221  
"31-DEC-2022",44559.5,70.5,5.25,5,0.145965  
"31-DEC-2022",44559.5,71,5.25,5,0.0801507  
"31-DEC-2022",44559.5,71.5,5.25,5,0.0544613  
"31-DEC-2022",44559.5,72,5.25,5,0.0599175  
"31-DEC-2022",44559.5,72.5,5.25,5,0.0780201  
"31-DEC-2022",44559.5,73,5.25,5,0.109626  
"31-DEC-2022",44559.5,73.5,5.25,5,0.0870174  
"31-DEC-2022",44559.5,74,5.25,5,0.0504451  
"31-DEC-2022",44559.5,74.5,5.25,5,-0.0699947  
"31-DEC-2022",44559.5,75,5.25,5,-0.137334  
"31-DEC-2022",44559.5,75.5,5.25,5,-0.0791779  
"31-DEC-2022",44559.5,76,5.25,5,0.0527267  
