DATETIME,TIME,LON,LAT,DEP,U
"31-DEC-2022",44559.5,77.5,4.5,5,-0.40867  
"31-DEC-2022",44559.5,78,4.5,5,-0.441247  
"31-DEC-2022",44559.5,78.5,4.5,5,-0.440872  
"31-DEC-2022",44559.5,79,4.5,5,-0.458325  
"31-DEC-2022",44559.5,79.5,4.5,5,-0.490796  
"31-DEC-2022",44559.5,80,4.5,5,-0.509216  
"31-DEC-2022",44559.5,80.5,4.5,5,-0.54371  
"31-DEC-2022",44559.5,81,4.5,5,-0.559783  
"31-DEC-2022",44559.5,81.5,4.5,5,-0.534576  
"31-DEC-2022",44559.5,82,4.5,5,-0.487369  
"31-DEC-2022",44559.5,82.5,4.5,5,-0.40561  
"31-DEC-2022",44559.5,83,4.5,5,-0.312245  
"31-DEC-2022",44559.5,83.5,4.5,5,-0.242671  
"31-DEC-2022",44559.5,84,4.5,5,-0.217003  
"31-DEC-2022",44559.5,84.5,4.5,5,-0.2612  
"31-DEC-2022",44559.5,85,4.5,5,-0.336225  
"31-DEC-2022",44559.5,85.5,4.5,5,-0.387521  
"31-DEC-2022",44559.5,86,4.5,5,-0.403746  
"31-DEC-2022",44559.5,86.5,4.5,5,-0.370492  
"31-DEC-2022",44559.5,87,4.5,5,-0.30207  
"31-DEC-2022",44559.5,87.5,4.5,5,-0.296202  
"31-DEC-2022",44559.5,88,4.5,5,-0.307117  
"31-DEC-2022",44559.5,88.5,4.5,5,-0.237869  
"31-DEC-2022",44559.5,89,4.5,5,-0.151636  
"31-DEC-2022",44559.5,68,4.75,5,-0.286749  
"31-DEC-2022",44559.5,68.5,4.75,5,-0.275035  
"31-DEC-2022",44559.5,69,4.75,5,-0.279331  
"31-DEC-2022",44559.5,69.5,4.75,5,-0.333801  
"31-DEC-2022",44559.5,70,4.75,5,-0.379493  
"31-DEC-2022",44559.5,70.5,4.75,5,-0.401286  
"31-DEC-2022",44559.5,71,4.75,5,-0.425128  
"31-DEC-2022",44559.5,71.5,4.75,5,-0.415879  
"31-DEC-2022",44559.5,72,4.75,5,-0.369208  
"31-DEC-2022",44559.5,72.5,4.75,5,-0.324665  
"31-DEC-2022",44559.5,73,4.75,5,-0.292605  
"31-DEC-2022",44559.5,73.5,4.75,5,-0.275577  
"31-DEC-2022",44559.5,74,4.75,5,-0.306998  
"31-DEC-2022",44559.5,74.5,4.75,5,-0.277471  
"31-DEC-2022",44559.5,75,4.75,5,-0.213097  
"31-DEC-2022",44559.5,75.5,4.75,5,-0.159473  
"31-DEC-2022",44559.5,76,4.75,5,-0.150469  
"31-DEC-2022",44559.5,76.5,4.75,5,-0.179707  
"31-DEC-2022",44559.5,77,4.75,5,-0.234092  
"31-DEC-2022",44559.5,77.5,4.75,5,-0.310917  
"31-DEC-2022",44559.5,78,4.75,5,-0.349915  
"31-DEC-2022",44559.5,78.5,4.75,5,-0.33673  
"31-DEC-2022",44559.5,79,4.75,5,-0.334676  
"31-DEC-2022",44559.5,79.5,4.75,5,-0.347512  
"31-DEC-2022",44559.5,80,4.75,5,-0.371366  
"31-DEC-2022",44559.5,80.5,4.75,5,-0.426847  
"31-DEC-2022",44559.5,81,4.75,5,-0.497116  
"31-DEC-2022",44559.5,81.5,4.75,5,-0.489631  
"31-DEC-2022",44559.5,82,4.75,5,-0.47025  
"31-DEC-2022",44559.5,82.5,4.75,5,-0.414864  
"31-DEC-2022",44559.5,83,4.75,5,-0.337555  
"31-DEC-2022",44559.5,83.5,4.75,5,-0.274954  
"31-DEC-2022",44559.5,84,4.75,5,-0.242912  
"31-DEC-2022",44559.5,84.5,4.75,5,-0.279201  
"31-DEC-2022",44559.5,85,4.75,5,-0.350274  
"31-DEC-2022",44559.5,85.5,4.75,5,-0.402969  
"31-DEC-2022",44559.5,86,4.75,5,-0.390324  
"31-DEC-2022",44559.5,86.5,4.75,5,-0.316693  
"31-DEC-2022",44559.5,87,4.75,5,-0.238806  
"31-DEC-2022",44559.5,87.5,4.75,5,-0.245298  
"31-DEC-2022",44559.5,88,4.75,5,-0.246623  
"31-DEC-2022",44559.5,88.5,4.75,5,-0.193897  
"31-DEC-2022",44559.5,89,4.75,5,-0.110953  
"31-DEC-2022",44559.5,68,5,5,-0.270925  
"31-DEC-2022",44559.5,68.5,5,5,-0.255282  
"31-DEC-2022",44559.5,69,5,5,-0.272754  
"31-DEC-2022",44559.5,69.5,5,5,-0.328925  
"31-DEC-2022",44559.5,70,5,5,-0.381865  
"31-DEC-2022",44559.5,70.5,5,5,-0.42425  
"31-DEC-2022",44559.5,71,5,5,-0.46246  
"31-DEC-2022",44559.5,71.5,5,5,-0.466834  
"31-DEC-2022",44559.5,72,5,5,-0.413428  
"31-DEC-2022",44559.5,72.5,5,5,-0.359876  
"31-DEC-2022",44559.5,73,5,5,-0.294605  
"31-DEC-2022",44559.5,73.5,5,5,-0.256083  
"31-DEC-2022",44559.5,74,5,5,-0.255248  
"31-DEC-2022",44559.5,74.5,5,5,-0.261879  
"31-DEC-2022",44559.5,75,5,5,-0.188878  
"31-DEC-2022",44559.5,75.5,5,5,-0.152423  
"31-DEC-2022",44559.5,76,5,5,-0.14649  
"31-DEC-2022",44559.5,76.5,5,5,-0.162722  
"31-DEC-2022",44559.5,77,5,5,-0.19481  
"31-DEC-2022",44559.5,77.5,5,5,-0.218263  
"31-DEC-2022",44559.5,78,5,5,-0.255584  
"31-DEC-2022",44559.5,78.5,5,5,-0.238338  
"31-DEC-2022",44559.5,79,5,5,-0.212851  
"31-DEC-2022",44559.5,79.5,5,5,-0.205124  
"31-DEC-2022",44559.5,80,5,5,-0.236389  
"31-DEC-2022",44559.5,80.5,5,5,-0.305611  
"31-DEC-2022",44559.5,81,5,5,-0.401284  
"31-DEC-2022",44559.5,81.5,5,5,-0.430444  
"31-DEC-2022",44559.5,82,5,5,-0.418722  
"31-DEC-2022",44559.5,82.5,5,5,-0.390989  
"31-DEC-2022",44559.5,83,5,5,-0.318375  
"31-DEC-2022",44559.5,83.5,5,5,-0.26857  
"31-DEC-2022",44559.5,84,5,5,-0.242407  
"31-DEC-2022",44559.5,84.5,5,5,-0.297087  
"31-DEC-2022",44559.5,85,5,5,-0.366954  
"31-DEC-2022",44559.5,85.5,5,5,-0.410277  
"31-DEC-2022",44559.5,86,5,5,-0.359184  
"31-DEC-2022",44559.5,86.5,5,5,-0.262273  
"31-DEC-2022",44559.5,87,5,5,-0.22521  
"31-DEC-2022",44559.5,87.5,5,5,-0.221304  
"31-DEC-2022",44559.5,88,5,5,-0.159119  
"31-DEC-2022",44559.5,88.5,5,5,-0.100906  
"31-DEC-2022",44559.5,89,5,5,-0.0532335  
"31-DEC-2022",44559.5,68,5.25,5,-0.225997  
"31-DEC-2022",44559.5,68.5,5.25,5,-0.237464  
"31-DEC-2022",44559.5,69,5.25,5,-0.246624  
"31-DEC-2022",44559.5,69.5,5.25,5,-0.302224  
"31-DEC-2022",44559.5,70,5.25,5,-0.372091  
"31-DEC-2022",44559.5,70.5,5.25,5,-0.42415  
"31-DEC-2022",44559.5,71,5.25,5,-0.474274  
"31-DEC-2022",44559.5,71.5,5.25,5,-0.471513  
"31-DEC-2022",44559.5,72,5.25,5,-0.41961  
"31-DEC-2022",44559.5,72.5,5.25,5,-0.345308  
"31-DEC-2022",44559.5,73,5.25,5,-0.285016  
"31-DEC-2022",44559.5,73.5,5.25,5,-0.235775  
"31-DEC-2022",44559.5,74,5.25,5,-0.23607  
"31-DEC-2022",44559.5,74.5,5.25,5,-0.244337  
"31-DEC-2022",44559.5,75,5.25,5,-0.178691  
"31-DEC-2022",44559.5,75.5,5.25,5,-0.152944  
"31-DEC-2022",44559.5,76,5.25,5,-0.152933  
"31-DEC-2022",44559.5,76.5,5.25,5,-0.157911  
"31-DEC-2022",44559.5,77,5.25,5,-0.143887  
"31-DEC-2022",44559.5,77.5,5.25,5,-0.133676  
"31-DEC-2022",44559.5,78,5.25,5,-0.154181  
"31-DEC-2022",44559.5,78.5,5.25,5,-0.128644  
"31-DEC-2022",44559.5,79,5.25,5,-0.107695  
"31-DEC-2022",44559.5,79.5,5.25,5,-0.0688773  
"31-DEC-2022",44559.5,80,5.25,5,-0.113528  
"31-DEC-2022",44559.5,80.5,5.25,5,-0.208492  
"31-DEC-2022",44559.5,81,5.25,5,-0.302258  
"31-DEC-2022",44559.5,81.5,5.25,5,-0.349684  
"31-DEC-2022",44559.5,82,5.25,5,-0.352688  
"31-DEC-2022",44559.5,82.5,5.25,5,-0.35274  
"31-DEC-2022",44559.5,83,5.25,5,-0.296718  
"31-DEC-2022",44559.5,83.5,5.25,5,-0.249715  
"31-DEC-2022",44559.5,84,5.25,5,-0.226339  
"31-DEC-2022",44559.5,84.5,5.25,5,-0.289401  
"31-DEC-2022",44559.5,85,5.25,5,-0.372648  
"31-DEC-2022",44559.5,85.5,5.25,5,-0.370441  
"31-DEC-2022",44559.5,86,5.25,5,-0.30833  
"31-DEC-2022",44559.5,86.5,5.25,5,-0.245514  
"31-DEC-2022",44559.5,87,5.25,5,-0.227523  
"31-DEC-2022",44559.5,87.5,5.25,5,-0.164669  
"31-DEC-2022",44559.5,88,5.25,5,-0.0496112  
"31-DEC-2022",44559.5,88.5,5.25,5,0.0114888  
"31-DEC-2022",44559.5,89,5.25,5,0.0319645  
"31-DEC-2022",44559.5,68,5.5,5,-0.165986  
"31-DEC-2022",44559.5,68.5,5.5,5,-0.195284  
"31-DEC-2022",44559.5,69,5.5,5,-0.227231  
"31-DEC-2022",44559.5,69.5,5.5,5,-0.26481  
"31-DEC-2022",44559.5,70,5.5,5,-0.342185  
"31-DEC-2022",44559.5,70.5,5.5,5,-0.405634  
"31-DEC-2022",44559.5,71,5.5,5,-0.442037  
"31-DEC-2022",44559.5,71.5,5.5,5,-0.43012  
"31-DEC-2022",44559.5,72,5.5,5,-0.35807  
"31-DEC-2022",44559.5,72.5,5.5,5,-0.302382  
"31-DEC-2022",44559.5,73,5.5,5,-0.254221  
"31-DEC-2022",44559.5,73.5,5.5,5,-0.229297  
"31-DEC-2022",44559.5,74,5.5,5,-0.230075  
"31-DEC-2022",44559.5,74.5,5.5,5,-0.24957  
"31-DEC-2022",44559.5,75,5.5,5,-0.205402  
"31-DEC-2022",44559.5,75.5,5.5,5,-0.180038  
"31-DEC-2022",44559.5,76,5.5,5,-0.193987  
"31-DEC-2022",44559.5,76.5,5.5,5,-0.174316  
"31-DEC-2022",44559.5,77,5.5,5,-0.104446  
"31-DEC-2022",44559.5,77.5,5.5,5,-0.0497218  
"31-DEC-2022",44559.5,78,5.5,5,-0.03038  
"31-DEC-2022",44559.5,78.5,5.5,5,-0.0245355  
"31-DEC-2022",44559.5,79,5.5,5,0.0291309  
"31-DEC-2022",44559.5,79.5,5.5,5,0.0425459  
"31-DEC-2022",44559.5,80,5.5,5,-0.00429934  
"31-DEC-2022",44559.5,80.5,5.5,5,-0.184179  
"31-DEC-2022",44559.5,81,5.5,5,-0.241165  
"31-DEC-2022",44559.5,81.5,5.5,5,-0.255097  
"31-DEC-2022",44559.5,82,5.5,5,-0.272681  
"31-DEC-2022",44559.5,82.5,5.5,5,-0.298898  
"31-DEC-2022",44559.5,83,5.5,5,-0.287694  
"31-DEC-2022",44559.5,83.5,5.5,5,-0.229758  
"31-DEC-2022",44559.5,84,5.5,5,-0.203857  
"31-DEC-2022",44559.5,84.5,5.5,5,-0.267667  
"31-DEC-2022",44559.5,85,5.5,5,-0.341645  
"31-DEC-2022",44559.5,85.5,5.5,5,-0.324595  
"31-DEC-2022",44559.5,86,5.5,5,-0.274587  
"31-DEC-2022",44559.5,86.5,5.5,5,-0.258614  
"31-DEC-2022",44559.5,87,5.5,5,-0.200981  
"31-DEC-2022",44559.5,87.5,5.5,5,-0.0737454  
"31-DEC-2022",44559.5,88,5.5,5,0.0686795  
"31-DEC-2022",44559.5,88.5,5.5,5,0.128316  
"31-DEC-2022",44559.5,89,5.5,5,0.126896  
"31-DEC-2022",44559.5,68,5.75,5,-0.0974818  
"31-DEC-2022",44559.5,68.5,5.75,5,-0.132648  
"31-DEC-2022",44559.5,69,5.75,5,-0.178624  
"31-DEC-2022",44559.5,69.5,5.75,5,-0.224012  
"31-DEC-2022",44559.5,70,5.75,5,-0.278169  
"31-DEC-2022",44559.5,70.5,5.75,5,-0.335202  
"31-DEC-2022",44559.5,71,5.75,5,-0.387185  
"31-DEC-2022",44559.5,71.5,5.75,5,-0.3902  
"31-DEC-2022",44559.5,72,5.75,5,-0.331173  
"31-DEC-2022",44559.5,72.5,5.75,5,-0.277116  
"31-DEC-2022",44559.5,73,5.75,5,-0.248846  
"31-DEC-2022",44559.5,73.5,5.75,5,-0.21837  
"31-DEC-2022",44559.5,74,5.75,5,-0.258226  
"31-DEC-2022",44559.5,74.5,5.75,5,-0.309497  
"31-DEC-2022",44559.5,75,5.75,5,-0.295754  
"31-DEC-2022",44559.5,75.5,5.75,5,-0.311463  
"31-DEC-2022",44559.5,76,5.75,5,-0.287326  
"31-DEC-2022",44559.5,76.5,5.75,5,-0.238589  
"31-DEC-2022",44559.5,77,5.75,5,-0.127093  
"31-DEC-2022",44559.5,77.5,5.75,5,0.0178486  
"31-DEC-2022",44559.5,78,5.75,5,0.064519  
"31-DEC-2022",44559.5,78.5,5.75,5,0.122996  
"31-DEC-2022",44559.5,79,5.75,5,0.105771  
"31-DEC-2022",44559.5,79.5,5.75,5,0.152552  
"31-DEC-2022",44559.5,80,5.75,5,0.0159411  
"31-DEC-2022",44559.5,80.5,5.75,5,-0.179963  
"31-DEC-2022",44559.5,81,5.75,5,-0.225141  
"31-DEC-2022",44559.5,81.5,5.75,5,-0.187442  
"31-DEC-2022",44559.5,82,5.75,5,-0.174408  
"31-DEC-2022",44559.5,82.5,5.75,5,-0.232834  
"31-DEC-2022",44559.5,83,5.75,5,-0.25129  
"31-DEC-2022",44559.5,83.5,5.75,5,-0.224014  
"31-DEC-2022",44559.5,84,5.75,5,-0.170489  
"31-DEC-2022",44559.5,84.5,5.75,5,-0.223543  
"31-DEC-2022",44559.5,85,5.75,5,-0.29405  
"31-DEC-2022",44559.5,85.5,5.75,5,-0.288957  
"31-DEC-2022",44559.5,86,5.75,5,-0.267771  
"31-DEC-2022",44559.5,86.5,5.75,5,-0.266116  
"31-DEC-2022",44559.5,87,5.75,5,-0.157579  
"31-DEC-2022",44559.5,87.5,5.75,5,0.0203504  
"31-DEC-2022",44559.5,88,5.75,5,0.145946  
"31-DEC-2022",44559.5,88.5,5.75,5,0.200389  
"31-DEC-2022",44559.5,89,5.75,5,0.218233  
"31-DEC-2022",44559.5,68,6,5,-0.0290033  
"31-DEC-2022",44559.5,68.5,6,5,-0.0644737  
"31-DEC-2022",44559.5,69,6,5,-0.112905  
"31-DEC-2022",44559.5,69.5,6,5,-0.170263  
"31-DEC-2022",44559.5,70,6,5,-0.215209  
"31-DEC-2022",44559.5,70.5,6,5,-0.262358  
"31-DEC-2022",44559.5,71,6,5,-0.325259  
"31-DEC-2022",44559.5,71.5,6,5,-0.346359  
"31-DEC-2022",44559.5,72,6,5,-0.33321  
"31-DEC-2022",44559.5,72.5,6,5,-0.301753  
"31-DEC-2022",44559.5,73,6,5,-0.302998  
"31-DEC-2022",44559.5,73.5,6,5,-0.29414  
"31-DEC-2022",44559.5,74,6,5,-0.321836  
"31-DEC-2022",44559.5,74.5,6,5,-0.413525  
"31-DEC-2022",44559.5,75,6,5,-0.488332  
"31-DEC-2022",44559.5,75.5,6,5,-0.508842  
"31-DEC-2022",44559.5,76,6,5,-0.446501  
"31-DEC-2022",44559.5,76.5,6,5,-0.318998  
"31-DEC-2022",44559.5,77,6,5,-0.204332  
"31-DEC-2022",44559.5,77.5,6,5,-0.0343367  
"31-DEC-2022",44559.5,78,6,5,0.123262  
"31-DEC-2022",44559.5,78.5,6,5,0.174263  
"31-DEC-2022",44559.5,79,6,5,0.204433  
"31-DEC-2022",44559.5,79.5,6,5,0.117703  
"31-DEC-2022",44559.5,80,6,5,0.0511454  
"31-DEC-2022",44559.5,80.5,6,5,-1.E+34  
"31-DEC-2022",44559.5,81,6,5,-1.E+34  
"31-DEC-2022",44559.5,81.5,6,5,-0.0351388  
"31-DEC-2022",44559.5,82,6,5,-0.092135  
"31-DEC-2022",44559.5,82.5,6,5,-0.161522  
"31-DEC-2022",44559.5,83,6,5,-0.225672  
"31-DEC-2022",44559.5,83.5,6,5,-0.188718  
"31-DEC-2022",44559.5,84,6,5,-0.157882  
"31-DEC-2022",44559.5,84.5,6,5,-0.183698  
"31-DEC-2022",44559.5,85,6,5,-0.242572  
"31-DEC-2022",44559.5,85.5,6,5,-0.2577  
"31-DEC-2022",44559.5,86,6,5,-0.266409  
"31-DEC-2022",44559.5,86.5,6,5,-0.260013  
"31-DEC-2022",44559.5,87,6,5,-0.117704  
"31-DEC-2022",44559.5,87.5,6,5,0.045354  
"31-DEC-2022",44559.5,88,6,5,0.106698  
"31-DEC-2022",44559.5,88.5,6,5,0.177771  
"31-DEC-2022",44559.5,89,6,5,0.234629  
"31-DEC-2022",44559.5,68,6.25,5,0.0525543  
"31-DEC-2022",44559.5,68.5,6.25,5,0.0109839  
"31-DEC-2022",44559.5,69,6.25,5,-0.0420944  
"31-DEC-2022",44559.5,69.5,6.25,5,-0.106572  
"31-DEC-2022",44559.5,70,6.25,5,-0.155672  
"31-DEC-2022",44559.5,70.5,6.25,5,-0.20927  
"31-DEC-2022",44559.5,71,6.25,5,-0.302751  
"31-DEC-2022",44559.5,71.5,6.25,5,-0.333033  
"31-DEC-2022",44559.5,72,6.25,5,-0.36951  
"31-DEC-2022",44559.5,72.5,6.25,5,-0.359683  
"31-DEC-2022",44559.5,73,6.25,5,-0.368489  
"31-DEC-2022",44559.5,73.5,6.25,5,-0.367254  
"31-DEC-2022",44559.5,74,6.25,5,-0.417651  
"31-DEC-2022",44559.5,74.5,6.25,5,-0.564172  
"31-DEC-2022",44559.5,75,6.25,5,-0.711468  
"31-DEC-2022",44559.5,75.5,6.25,5,-0.716628  
"31-DEC-2022",44559.5,76,6.25,5,-0.574516  
"31-DEC-2022",44559.5,76.5,6.25,5,-0.436507  
"31-DEC-2022",44559.5,77,6.25,5,-0.340348  
"31-DEC-2022",44559.5,77.5,6.25,5,-0.180024  
"31-DEC-2022",44559.5,78,6.25,5,0.0280254  
"31-DEC-2022",44559.5,78.5,6.25,5,0.134484  
"31-DEC-2022",44559.5,79,6.25,5,0.164401  
"31-DEC-2022",44559.5,79.5,6.25,5,0.0791035  
"31-DEC-2022",44559.5,80,6.25,5,-1.E+34  
"31-DEC-2022",44559.5,80.5,6.25,5,-1.E+34  
"31-DEC-2022",44559.5,81,6.25,5,-1.E+34  
"31-DEC-2022",44559.5,81.5,6.25,5,-1.E+34  
"31-DEC-2022",44559.5,82,6.25,5,-0.0716003  
"31-DEC-2022",44559.5,82.5,6.25,5,-0.0863399  
"31-DEC-2022",44559.5,83,6.25,5,-0.156255  
"31-DEC-2022",44559.5,83.5,6.25,5,-0.183415  
"31-DEC-2022",44559.5,84,6.25,5,-0.136709  
"31-DEC-2022",44559.5,84.5,6.25,5,-0.153722  
"31-DEC-2022",44559.5,85,6.25,5,-0.20512  
"31-DEC-2022",44559.5,85.5,6.25,5,-0.233502  
"31-DEC-2022",44559.5,86,6.25,5,-0.262753  
"31-DEC-2022",44559.5,86.5,6.25,5,-0.228757  
"31-DEC-2022",44559.5,87,6.25,5,-0.103292  
"31-DEC-2022",44559.5,87.5,6.25,5,-0.0138384  
"31-DEC-2022",44559.5,88,6.25,5,0.00423577  
"31-DEC-2022",44559.5,88.5,6.25,5,0.0661149  
"31-DEC-2022",44559.5,89,6.25,5,0.141889  
"31-DEC-2022",44559.5,68,6.5,5,0.121645  
"31-DEC-2022",44559.5,68.5,6.5,5,0.0852225  
"31-DEC-2022",44559.5,69,6.5,5,0.0242003  
"31-DEC-2022",44559.5,69.5,6.5,5,-0.0464335  
