DATETIME,TIME,LON,LAT,DEP,EASTWARD_WIND
"31-DEC-2022",1.07819E+06,88.375,4.125,10,-2.75  
"31-DEC-2022",1.07819E+06,88.625,4.125,10,-2.35  
"31-DEC-2022",1.07819E+06,88.875,4.125,10,-2.19  
"31-DEC-2022",1.07819E+06,68.125,4.375,10,-5.18  
"31-DEC-2022",1.07819E+06,68.375,4.375,10,-5.11  
"31-DEC-2022",1.07819E+06,68.625,4.375,10,-4.51  
"31-DEC-2022",1.07819E+06,68.875,4.375,10,-4.58  
"31-DEC-2022",1.07819E+06,69.125,4.375,10,-5.04  
"31-DEC-2022",1.07819E+06,69.375,4.375,10,-4.37  
"31-DEC-2022",1.07819E+06,69.625,4.375,10,-3.74  
"31-DEC-2022",1.07819E+06,69.875,4.375,10,-4.31  
"31-DEC-2022",1.07819E+06,70.125,4.375,10,-4.7  
"31-DEC-2022",1.07819E+06,70.375,4.375,10,-6.29  
"31-DEC-2022",1.07819E+06,70.625,4.375,10,-7.27  
"31-DEC-2022",1.07819E+06,70.875,4.375,10,-7.41  
"31-DEC-2022",1.07819E+06,71.125,4.375,10,-7.57  
"31-DEC-2022",1.07819E+06,71.375,4.375,10,-6.53  
"31-DEC-2022",1.07819E+06,71.625,4.375,10,-6.23  
"31-DEC-2022",1.07819E+06,71.875,4.375,10,-6.15  
"31-DEC-2022",1.07819E+06,72.125,4.375,10,-5.93  
"31-DEC-2022",1.07819E+06,72.375,4.375,10,-5.88  
"31-DEC-2022",1.07819E+06,72.625,4.375,10,-5.8  
"31-DEC-2022",1.07819E+06,72.875,4.375,10,-5.81  
"31-DEC-2022",1.07819E+06,73.125,4.375,10,-6.05  
"31-DEC-2022",1.07819E+06,73.375,4.375,10,-6.56  
"31-DEC-2022",1.07819E+06,73.625,4.375,10,-7.14  
"31-DEC-2022",1.07819E+06,73.875,4.375,10,-6.75  
"31-DEC-2022",1.07819E+06,74.125,4.375,10,-5.94  
"31-DEC-2022",1.07819E+06,74.375,4.375,10,-5.73  
"31-DEC-2022",1.07819E+06,74.625,4.375,10,-5.41  
"31-DEC-2022",1.07819E+06,74.875,4.375,10,-5.24  
"31-DEC-2022",1.07819E+06,75.125,4.375,10,-5.1  
"31-DEC-2022",1.07819E+06,75.375,4.375,10,-4.86  
"31-DEC-2022",1.07819E+06,75.625,4.375,10,-4.63  
"31-DEC-2022",1.07819E+06,75.875,4.375,10,-4.48  
"31-DEC-2022",1.07819E+06,76.125,4.375,10,-4.37  
"31-DEC-2022",1.07819E+06,76.375,4.375,10,-4.34  
"31-DEC-2022",1.07819E+06,76.625,4.375,10,-4.41  
"31-DEC-2022",1.07819E+06,76.875,4.375,10,-4.41  
"31-DEC-2022",1.07819E+06,77.125,4.375,10,-4.17  
"31-DEC-2022",1.07819E+06,77.375,4.375,10,-3.5  
"31-DEC-2022",1.07819E+06,77.625,4.375,10,-3  
"31-DEC-2022",1.07819E+06,77.875,4.375,10,-1.99  
"31-DEC-2022",1.07819E+06,78.125,4.375,10,-1.81  
