DATETIME,TIME,LON,LAT,E_WIND,N_WIND,Z_CURR,M_CURR
31-DEC-2022,44559.5,82.5,4.25,-0.35,-6.995,-0.369589,0.104756
31-DEC-2022,44559.5,83.0,4.25,-1.795,-6.93,-0.280772,0.1472
31-DEC-2022,44559.5,83.5,4.25,-2.18,-6.63,-0.220257,0.156407
31-DEC-2022,44559.5,84.0,4.25,-1.98,-6.455,-0.210195,0.126327
31-DEC-2022,44559.5,84.5,4.25,-1.5,-6.165,-0.243314,0.0579644
31-DEC-2022,44559.5,85.0,4.25,-1.955,-6.16,-0.320796,0.0125391
31-DEC-2022,44559.5,85.5,4.25,-2.22,-6.57,-0.378844,0.0124066
31-DEC-2022,44559.5,86.0,4.25,-2.035,-6.695,-0.396689,0.00937273
31-DEC-2022,44559.5,86.5,4.25,-2.22,-6.325,-0.396733,-0.039236
31-DEC-2022,44559.5,87.0,4.25,-2.795,-5.48,-0.35983,-0.0493907
31-DEC-2022,44559.5,87.5,4.25,-3.055,-4.715,-0.34703,0.00434418
31-DEC-2022,44559.5,88.0,4.25,-2.98,-4.81,-0.33075,0.0368888
31-DEC-2022,44559.5,88.5,4.25,-2.695,-4.82,-0.243797,0.0390603
31-DEC-2022,44559.5,89.0,4.25,-2.25,-4.95,-0.129311,0.0935778
31-DEC-2022,44559.5,68.0,4.5,-5.34,-2.25,-0.286925,0.23035
31-DEC-2022,44559.5,68.5,4.5,-5.34,-3.04,-0.279146,0.214441
31-DEC-2022,44559.5,69.0,4.5,-5.38,-3.22,-0.281706,0.196409
31-DEC-2022,44559.5,69.5,4.5,-5.56,-1.205,-0.324202,0.178115
31-DEC-2022,44559.5,70.0,4.5,-5.13,-2.005,-0.369134,0.137657
31-DEC-2022,44559.5,70.5,4.5,-7.965,-2.83,-0.378214,0.10209
31-DEC-2022,44559.5,71.0,4.5,-8.58,-3.135,-0.387516,0.0732607
31-DEC-2022,44559.5,71.5,4.5,-7.26501,-3.165,-0.372285,0.0753367
31-DEC-2022,44559.5,72.0,4.5,-5.89,-2.505,-0.316971,0.0944749
31-DEC-2022,44559.5,72.5,4.5,-6.005,-1.91,-0.309559,0.109994
31-DEC-2022,44559.5,73.0,4.5,-6.145,-2.3,-0.292302,0.103411
31-DEC-2022,44559.5,73.5,4.5,-6.67,-2.22,-0.327848,0.0558617
31-DEC-2022,44559.5,74.0,4.5,-6.3509,-2.57,-0.336935,-0.0310555
31-DEC-2022,44559.5,74.5,4.5,-5.66,-3.11,-0.307036,-0.130462
31-DEC-2022,44559.5,75.0,4.5,-5.245,-3.5,-0.229488,-0.153772
31-DEC-2022,44559.5,75.5,4.5,-4.705,-3.89,-0.184286,-0.1174
31-DEC-2022,44559.5,76.0,4.5,-4.565,-4.17,-0.162619,0.0272453
31-DEC-2022,44559.5,76.5,4.5,-4.74,-4.335,-0.198144,0.26163
31-DEC-2022,44559.5,77.0,4.5,-4.65,-4.255,-0.285625,0.43689
31-DEC-2022,44559.5,77.5,4.5,-3.3203,-4.565,-0.40867,0.36515
31-DEC-2022,44559.5,78.0,4.5,-2.025,-4.2440,-0.441247,0.263455
31-DEC-2022,44559.5,78.5,4.5,-2.335,-3.27,-0.440872,0.169692
31-DEC-2022,44559.5,79.0,4.5,-4.285,-3.2304,-0.458325,0.0421798
31-DEC-2022,44559.5,79.5,4.5,-5.135,-3.435,-0.490796,-0.107097
31-DEC-2022,44559.5,80.0,4.5,-4.535,-4.65,-0.509216,-0.175186
31-DEC-2022,44559.5,80.5,4.5,-3.355,-5.605,-0.54371,-0.122392
31-DEC-2022,44559.5,81.0,4.5,-2.425,-6.645,-0.559783,-0.00835143
31-DEC-2022,44559.5,81.5,4.5,-1.855,-6.62,-0.534576,0.0954477
31-DEC-2022,44559.5,82.0,4.5,-1.135,-6.76501,-0.487369,0.145674
31-DEC-2022,44559.5,82.5,4.5,-0.52,-7.18,-0.40561,0.137388
31-DEC-2022,44559.5,83.0,4.5,-1.7402,-7.125,-0.312245,0.148427
31-DEC-2022,44559.5,83.5,4.5,-2.105,-6.62,-0.242671,0.151058
31-DEC-2022,44559.5,84.0,4.5,-2.26,-6.025,-0.217003,0.134041
31-DEC-2022,44559.5,84.5,4.5,-1.925,-5.63,-0.2612,0.102058
31-DEC-2022,44559.5,85.0,4.5,-2.39,-5.69,-0.336225,0.0788964
31-DEC-2022,44559.5,85.5,4.5,-2.685,-5.795,-0.387521,0.0740611
31-DEC-2022,44559.5,86.0,4.5,-2.34,-6.245,-0.403746,0.0355829
31-DEC-2022,44559.5,86.5,4.5,-2.38,-6.26,-0.370492,-0.0196812
31-DEC-2022,44559.5,87.0,4.5,-2.54,-5.79,-0.30207,-0.00125787
31-DEC-2022,44559.5,87.5,4.5,-3.005,-4.91,-0.296202,0.0657637
31-DEC-2022,44559.5,88.0,4.5,-3.3203,-4.5,-0.307117,0.103621
31-DEC-2022,44559.5,88.5,4.5,-2.9004,-4.475,-0.237869,0.118126
31-DEC-2022,44559.5,89.0,4.5,-2.77,-4.55,-0.151636,0.118439
31-DEC-2022,44559.5,68.0,4.75,-5.07,-2.28,-0.286749,0.245213
31-DEC-2022,44559.5,68.5,4.75,-4.9840,-3.08,-0.275035,0.236395
31-DEC-2022,44559.5,69.0,4.75,-4.305,-5.075,-0.279331,0.209575
31-DEC-2022,44559.5,69.5,4.75,-5.69,-0.65409,-0.333801,0.196195
31-DEC-2022,44559.5,70.0,4.75,-5.51,-1.325,-0.379493,0.153811
