DATETIME,TIME,LON,LAT,EASTWARD_WIND,NORTHWARD_WIND
31-DEC-2022,44559.5,71.0,4.5,-8.58,-3.135
31-DEC-2022,44559.5,71.5,4.5,-7.265000000000001,-3.165
31-DEC-2022,44559.5,72.0,4.5,-5.89,-2.505
31-DEC-2022,44559.5,72.5,4.5,-6.005,-1.9100000000000001
31-DEC-2022,44559.5,73.0,4.5,-6.145,-2.3
31-DEC-2022,44559.5,73.5,4.5,-6.67,-2.2199999999999998
31-DEC-2022,44559.5,74.0,4.5,-6.359999999999999,-2.57
31-DEC-2022,44559.5,74.5,4.5,-5.66,-3.11
31-DEC-2022,44559.5,75.0,4.5,-5.245,-3.5
31-DEC-2022,44559.5,75.5,4.5,-4.705,-3.8899999999999997
31-DEC-2022,44559.5,76.0,4.5,-4.5649999999999995,-4.17
31-DEC-2022,44559.5,76.5,4.5,-4.74,-4.335
31-DEC-2022,44559.5,77.0,4.5,-4.65,-4.255
31-DEC-2022,44559.5,77.5,4.5,-3.3200000000000003,-4.565
31-DEC-2022,44559.5,78.0,4.5,-2.025,-4.244999999999999
31-DEC-2022,44559.5,78.5,4.5,-2.335,-3.27
31-DEC-2022,44559.5,79.0,4.5,-4.285,-3.2300000000000004
31-DEC-2022,44559.5,79.5,4.5,-5.135,-3.435
31-DEC-2022,44559.5,80.0,4.5,-4.535,-4.65
31-DEC-2022,44559.5,80.5,4.5,-3.355,-5.605
31-DEC-2022,44559.5,81.0,4.5,-2.425,-6.645
31-DEC-2022,44559.5,81.5,4.5,-1.855,-6.62
31-DEC-2022,44559.5,82.0,4.5,-1.135,-6.765000000000001
31-DEC-2022,44559.5,82.5,4.5,-0.52,-7.18
31-DEC-2022,44559.5,83.0,4.5,-1.7400000000000002,-7.125
31-DEC-2022,44559.5,83.5,4.5,-2.105,-6.62
31-DEC-2022,44559.5,84.0,4.5,-2.26,-6.025
31-DEC-2022,44559.5,84.5,4.5,-1.9249999999999998,-5.63
31-DEC-2022,44559.5,85.0,4.5,-2.39,-5.6899999999999995
31-DEC-2022,44559.5,85.5,4.5,-2.6849999999999996,-5.795
31-DEC-2022,44559.5,86.0,4.5,-2.34,-6.245
31-DEC-2022,44559.5,86.5,4.5,-2.38,-6.26
31-DEC-2022,44559.5,87.0,4.5,-2.54,-5.79
31-DEC-2022,44559.5,87.5,4.5,-3.005,-4.91
31-DEC-2022,44559.5,88.0,4.5,-3.3200000000000003,-4.5
31-DEC-2022,44559.5,88.5,4.5,-2.9000000000000004,-4.475
31-DEC-2022,44559.5,89.0,4.5,-2.77,-4.55
31-DEC-2022,44559.5,68.0,4.75,-5.07,-2.28
31-DEC-2022,44559.5,68.5,4.75,-4.984999999999999,-3.08
31-DEC-2022,44559.5,69.0,4.75,-4.305,-5.075
31-DEC-2022,44559.5,69.5,4.75,-5.6899999999999995,-0.6549999999999999
31-DEC-2022,44559.5,70.0,4.75,-5.51,-1.325
31-DEC-2022,44559.5,70.5,4.75,-7.09,-2.455
31-DEC-2022,44559.5,71.0,4.75,-7.57,-2.56
31-DEC-2022,44559.5,71.5,4.75,-7.32,-3.025
31-DEC-2022,44559.5,72.0,4.75,-5.824999999999999,-2.535
31-DEC-2022,44559.5,72.5,4.75,-5.635,-2.17
31-DEC-2022,44559.5,73.0,4.75,-6.085,-2.17
31-DEC-2022,44559.5,73.5,4.75,-6.395,-2.4699999999999998
31-DEC-2022,44559.5,74.0,4.75,-6.265000000000001,-2.4749999999999996
31-DEC-2022,44559.5,74.5,4.75,-5.785,-2.96
31-DEC-2022,44559.5,75.0,4.75,-5.24,-3.8200000000000003
31-DEC-2022,44559.5,75.5,4.75,-4.825,-4.155
31-DEC-2022,44559.5,76.0,4.75,-4.779999999999999,-4.48
31-DEC-2022,44559.5,76.5,4.75,-5.035,-4.574999999999999
31-DEC-2022,44559.5,77.0,4.75,-4.445,-4.785
31-DEC-2022,44559.5,77.5,4.75,-3.475,-4.765000000000001
31-DEC-2022,44559.5,78.0,4.75,-2.725,-4.495
31-DEC-2022,44559.5,78.5,4.75,-2.445,-3.9450000000000003
31-DEC-2022,44559.5,79.0,4.75,-3.4400000000000004,-2.955
31-DEC-2022,44559.5,79.5,4.75,-4.265,-3.1100000000000003
31-DEC-2022,44559.5,80.0,4.75,-5.225,-4.09
31-DEC-2022,44559.5,80.5,4.75,-4.140000000000001,-5.234999999999999
31-DEC-2022,44559.5,81.0,4.75,-2.95,-6.5649999999999995
31-DEC-2022,44559.5,81.5,4.75,-1.565,-6.785
31-DEC-2022,44559.5,82.0,4.75,-1.255,-6.640000000000001
31-DEC-2022,44559.5,82.5,4.75,-0.64,-7.145
31-DEC-2022,44559.5,83.0,4.75,-1.985,-7.27
