DATETIME,TIME,LON,LAT,ZON,MER
31-DEC-2022,44559.5,72.0,4.5,-0.316971,0.0944749
31-DEC-2022,44559.5,72.5,4.5,-0.309559,0.109994
31-DEC-2022,44559.5,73.0,4.5,-0.292302,0.103411
31-DEC-2022,44559.5,73.5,4.5,-0.327848,0.0558617
31-DEC-2022,44559.5,74.0,4.5,-0.336935,-0.0310555
31-DEC-2022,44559.5,74.5,4.5,-0.307036,-0.130462
31-DEC-2022,44559.5,75.0,4.5,-0.229488,-0.153772
31-DEC-2022,44559.5,75.5,4.5,-0.184286,-0.1174
31-DEC-2022,44559.5,76.0,4.5,-0.162619,0.0272453
31-DEC-2022,44559.5,76.5,4.5,-0.198144,0.26163
31-DEC-2022,44559.5,77.0,4.5,-0.285625,0.43689
31-DEC-2022,44559.5,77.5,4.5,-0.40867,0.36515
31-DEC-2022,44559.5,78.0,4.5,-0.441247,0.263455
31-DEC-2022,44559.5,78.5,4.5,-0.440872,0.169692
31-DEC-2022,44559.5,79.0,4.5,-0.458325,0.0421798
31-DEC-2022,44559.5,79.5,4.5,-0.490796,-0.107097
31-DEC-2022,44559.5,80.0,4.5,-0.509216,-0.175186
31-DEC-2022,44559.5,80.5,4.5,-0.54371,-0.122392
31-DEC-2022,44559.5,81.0,4.5,-0.559783,-0.00835143
31-DEC-2022,44559.5,81.5,4.5,-0.534576,0.0954477
31-DEC-2022,44559.5,82.0,4.5,-0.487369,0.145674
31-DEC-2022,44559.5,82.5,4.5,-0.40561,0.137388
31-DEC-2022,44559.5,83.0,4.5,-0.312245,0.148427
31-DEC-2022,44559.5,83.5,4.5,-0.242671,0.151058
31-DEC-2022,44559.5,84.0,4.5,-0.217003,0.134041
31-DEC-2022,44559.5,84.5,4.5,-0.2612,0.102058
31-DEC-2022,44559.5,85.0,4.5,-0.336225,0.0788964
31-DEC-2022,44559.5,85.5,4.5,-0.387521,0.0740611
31-DEC-2022,44559.5,86.0,4.5,-0.403746,0.0355829
31-DEC-2022,44559.5,86.5,4.5,-0.370492,-0.0196812
31-DEC-2022,44559.5,87.0,4.5,-0.30207,-0.00125787
31-DEC-2022,44559.5,87.5,4.5,-0.296202,0.0657637
31-DEC-2022,44559.5,88.0,4.5,-0.307117,0.103621
31-DEC-2022,44559.5,88.5,4.5,-0.237869,0.118126
31-DEC-2022,44559.5,89.0,4.5,-0.151636,0.118439
31-DEC-2022,44559.5,68.0,4.75,-0.286749,0.245213
31-DEC-2022,44559.5,68.5,4.75,-0.275035,0.236395
31-DEC-2022,44559.5,69.0,4.75,-0.279331,0.209575
31-DEC-2022,44559.5,69.5,4.75,-0.333801,0.196195
31-DEC-2022,44559.5,70.0,4.75,-0.379493,0.153811
31-DEC-2022,44559.5,70.5,4.75,-0.401286,0.108464
31-DEC-2022,44559.5,71.0,4.75,-0.425128,0.0636393
31-DEC-2022,44559.5,71.5,4.75,-0.415879,0.0582603
31-DEC-2022,44559.5,72.0,4.75,-0.369208,0.080891
31-DEC-2022,44559.5,72.5,4.75,-0.324665,0.0900335
31-DEC-2022,44559.5,73.0,4.75,-0.292605,0.102276
31-DEC-2022,44559.5,73.5,4.75,-0.275577,0.05367
31-DEC-2022,44559.5,74.0,4.75,-0.306998,-0.0136976
31-DEC-2022,44559.5,74.5,4.75,-0.277471,-0.110774
31-DEC-2022,44559.5,75.0,4.75,-0.213097,-0.156147
31-DEC-2022,44559.5,75.5,4.75,-0.159473,-0.117182
31-DEC-2022,44559.5,76.0,4.75,-0.150469,0.0501028
31-DEC-2022,44559.5,76.5,4.75,-0.179707,0.256831
31-DEC-2022,44559.5,77.0,4.75,-0.234092,0.472079
31-DEC-2022,44559.5,77.5,4.75,-0.310917,0.413843
31-DEC-2022,44559.5,78.0,4.75,-0.349915,0.30773
31-DEC-2022,44559.5,78.5,4.75,-0.33673,0.210546
31-DEC-2022,44559.5,79.0,4.75,-0.334676,0.0820468
31-DEC-2022,44559.5,79.5,4.75,-0.347512,-0.0815759
31-DEC-2022,44559.5,80.0,4.75,-0.371366,-0.159928
31-DEC-2022,44559.5,80.5,4.75,-0.426847,-0.102196
31-DEC-2022,44559.5,81.0,4.75,-0.497116,-0.00171475
31-DEC-2022,44559.5,81.5,4.75,-0.489631,0.135587
31-DEC-2022,44559.5,82.0,4.75,-0.47025,0.209704
